"Year","Flow","Port","Region","Volume (10^3 m3)","Volume (MCF)","Value (CN$)","Value (US$)","Price (CN$/GJ)","Price (US$/MMBTU)"
"1994","Exports","Reagan Field","MidWest","3359.900000","118607.701822659263814","203840.00","149623.26","1.28","0.99"
"1994","Exports","Sarnia","MidWest","132578.800000","4680159.164976927291309","13004587.20","9660780.15","2.60","2.03"
"1994","Exports","Sprague","MidWest","165080.500000","5827500.437731927319546","23094238.52","16963393.75","3.72","2.88"
"1994","Exports","St Clair","MidWest","88176.700000","3112722.325457924077506","9066192.14","6679243.59","2.74","2.13"
"1994","Exports","Total","Total","71680164.450000","2530378752.845257527574748","6449291737.35","4725257510.93","2.36","1.83"
"1994","Exports","Windsor (Ojibway)","East","2998.800000","105860.524487571237340","306005.00","230598.52","2.71","2.16"
"1994","Imports","Cardston","MidWest","2832.900000","100004.094911578150681","303426.37","226085.81","2.83","2.22"
"1994","Imports","Emerson","MidWest","19306.800000","681548.610836548074260","2186306.00","1627604.15","3.00","2.36"
"1994","Imports","Huntingdon","West","36271.700000","1280425.899044897175351","3048871.66","2242873.73","2.16","1.67"
"1994","Imports","Iroquois","East","9477.200000","334554.275934910674446","976275.00","706952.89","2.74","2.09"
"1994","Imports","Kingsgate","West","533.300000","18826.002970928951872","52040.08","38775.55","2.54","2.00"
"1994","Imports","Loomis","MidWest","46582.600000","1644410.586899671842251","2778756.00","2023632.02","1.60","1.23"
"1994","Imports","Niagara Falls","East","1158.600000","40899.694434873961445","102700.00","74549.83","2.34","1.79"
"1994","Imports","Ojibway (Windsor)","MidWest","593512.800000","20951572.728453704906519","69833039.42","51193045.73","3.14","2.43"
"1994","Imports","Sarnia","MidWest","159833.900000","5642290.411129122446325","16522067.91","12250464.03","2.73","2.14"
"1994","Imports","Sault Ste Marie","MidWest","6887.100000","243121.254567944467350","696368.00","525882.25","2.68","2.14"
"1994","Imports","St Clair","MidWest","352768.060000","12453051.838756502437156","44665732.94","32712850.04","3.32","2.57"
"1994","Imports","Total","Total","1234656.760000","43584571.220396613366843","141855010.50","104128632.03","3.04","2.36"
"1994","Imports","Windsor (Ojibway)","East","5491.800000","193865.822455930279187","689427.12","505916.01","3.32","2.57"
"1995","Exports","Aden","MidWest","191647.900000","6765355.212398827443238","9351806.00","6804831.46","1.34","1.03"
"1995","Exports","Cardston","MidWest","452315.000000","15967154.573027805861603","27105649.91","19801139.54","1.58","1.22"
"1995","Exports","Chippawa","East","1319659.430000","46585247.233816627035327","143085339.36","104553469.55","2.88","2.22"
"1995","Exports","Cornwall","East","501551.200000","17705239.792373862602807","61839297.38","44974379.92","3.28","2.51"
"1995","Exports","Emerson","MidWest","11297862.500000","398825413.444865545695947","961052286.88","700006448.66","2.26","1.74"
"1995","Exports","Highwater","East","321290.600000","11341867.223198097701749","39376747.45","28684224.83","3.25","2.50"
"1995","Exports","Huntingdon","West","8988779.920000","317312577.309106518533984","537332206.14","391172435.19","1.54","1.18"
"1995","Exports","Iroquois","East","7985927.690000","281910928.965992465362481","869344358.92","633052074.59","2.89","2.22"
"1995","Exports","Kingsgate","West","22199159.500000","783651683.291066314974437","1049237239.47","763650474.21","1.24","0.95"
"1995","Exports","Loomis","MidWest","4007.000000","141450.954255601556630","142076.00","105021.92","0.95","0.74"
"1995","Exports","Monchy","MidWest","15632812.000000","551853300.498731989448999","914764111.96","666737678.47","1.54","1.19"
"1995","Exports","Napierville","East","491567.400000","17352802.049150235245595","74049323.22","53951223.44","4.00","3.07"
"1995","Exports","Niagara Falls","East","7700062.480000","271819612.084790086359942","826987917.98","602548961.17","2.85","2.19"
"1995","Exports","North Portal","MidWest","167396.100000","5909243.345062666267500","8117535.01","5915553.48","1.25","0.96"
"1995","Exports","Ojibway (Windsor)","MidWest","336212.300000","11868617.586091985834422","34117508.00","24812130.87","2.69","2.07"
"1995","Exports","Philipsburg","East","186777.300000","6593418.347463131675401","23177922.00","16823337.79","3.29","2.52"
"1995","Exports","Reagan Field","MidWest","1836.600000","64833.746589927082328","109541.00","79285.11","1.37","1.04"
